"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"87024010","仅装有驱动电动机的大型客车,30座及以上","112","印度尼西亚","31","上海市","2","辆","17000","千克","776,348",
"87024010","仅装有驱动电动机的大型客车,30座及以上","133","韩国","31","上海市","1","辆","12750","千克","1,451,686",
"87024010","仅装有驱动电动机的大型客车,30座及以上","137","土耳其","31","上海市","1","辆","13300","千克","2,613,935",
"87024010","仅装有驱动电动机的大型客车,30座及以上","413","哥伦比亚","31","上海市","1","辆","11200","千克","1,252,105",
"87024020","仅装有驱动电动机的机动客车,20≤座≤29","413","哥伦比亚","31","上海市","26","辆","232700","千克","38,729,231",
"87024030","仅装有驱动电动机的机动客车,10≤座≤19","133","韩国","31","上海市","2","辆","13550","千克","1,168,706",
"87034021","同时装有点燃往复式活塞内燃发动机及驱动电动机的小轿车,1000cc＜排量≤1500cc,不可接插外部电源充电","330","瑞典","31","上海市","8","辆","13717","千克","800,000",
"87034022","同时装有点燃往复式活塞内燃发动机及驱动电动机的越野车（4轮驱动）,1000cc＜排量≤1500cc,不可接插外部电源充电","330","瑞典","31","上海市","4","辆","6306","千克","400,000",
"87034023","同时装有点燃往复式活塞内燃发动机及驱动电动机的小客车（9座及以下）,1000cc＜排量≤1500cc,不可接插外部电源充电","122","马来西亚","31","上海市","1","辆","1761","千克","150,000",
"87034029","同时装有点燃往复式活塞内燃发动机及驱动电动机的其他主要用于载人的机动车,1000cc＜排量≤1500cc,不可接插外部电源充电","330","瑞典","31","上海市","14","辆","22730","千克","1,400,000",
"87034032","同时装有点燃往复式活塞内燃发动机及驱动电动机的越野车（4轮驱动）,1500cc＜排量≤2000cc,不可接插外部电源充电","330","瑞典","31","上海市","2","辆","3500","千克","200,000",
"87034033","同时装有点燃往复式活塞内燃发动机及驱动电动机的小客车（9座及以下）,1500cc＜排量≤2000cc,不可接插外部电源充电","502","美国","31","上海市","14","辆","28285","千克","6,777,714",
"87035022","同时装有压燃式活塞内燃发动机及驱动电动机的越野车（4轮驱动）,1000cc＜排量≤1500cc,不可接插外部电源充电","303","英国","31","上海市","6","辆","9300","千克","575,607",
"87036000","同时装有点燃往复式活塞内燃发动机及驱动电动机的主要用于载人的机动车,可接插外部电源充电","122","马来西亚","31","上海市","1","辆","2371","千克","150,265",
"87036000","同时装有点燃往复式活塞内燃发动机及驱动电动机的主要用于载人的机动车,可接插外部电源充电","136","泰国","31","上海市","1","辆","2130","千克","250,000",
"87036000","同时装有点燃往复式活塞内燃发动机及驱动电动机的主要用于载人的机动车,可接插外部电源充电","303","英国","31","上海市","29","辆","44950","千克","2,768,447",
"87036000","同时装有点燃往复式活塞内燃发动机及驱动电动机的主要用于载人的机动车,可接插外部电源充电","304","德国","31","上海市","36","辆","67198","千克","6,559,335",
"87036000","同时装有点燃往复式活塞内燃发动机及驱动电动机的主要用于载人的机动车,可接插外部电源充电","330","瑞典","31","上海市","82","辆","156223","千克","39,760,488",
