"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","102","巴林","31","上海市","5","台","5","千克","16,923",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","103","孟加拉国","31","上海市","7","台","9","千克","40,128",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","105","文莱","31","上海市","6","台","6","千克","18,127",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","106","缅甸","31","上海市","7","台","2","千克","1,092",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","107","柬埔寨","31","上海市","4","台","32","千克","15,968",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","108","塞浦路斯","31","上海市","10","台","10","千克","33,466",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","110","中国香港","31","上海市","179587","台","471837","千克","1,210,993,390",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","111","印度","31","上海市","578765","台","1830266","千克","4,206,497,502",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","112","印度尼西亚","31","上海市","5997","台","14734","千克","32,389,204",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","114","伊拉克","31","上海市","1","台","1","千克","3,369",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","115","以色列","31","上海市","1082","台","3181","千克","12,751,778",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","116","日本","31","上海市","1261917","台","3252637","千克","6,595,225,880",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","118","科威特","31","上海市","23","台","22","千克","52,714",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","119","老挝","31","上海市","3","台","2","千克","3,293",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","120","黎巴嫩","31","上海市","2","台","2","千克","5,684",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","121","中国澳门","31","上海市","2","台","2","千克","6,924",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","122","马来西亚","31","上海市","8213","台","22296","千克","60,426,465",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","125","尼泊尔","31","上海市","1","台","0","千克","13",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","126","阿曼","31","上海市","5037","台","12558","千克","22,719,200",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","127","巴基斯坦","31","上海市","4","台","7","千克","10,520",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","129","菲律宾","31","上海市","5226","台","13401","千克","28,990,090",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","130","卡塔尔","31","上海市","1","台","8","千克","695",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","131","沙特阿拉伯","31","上海市","4053","台","12364","千克","31,693,344",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","132","新加坡","31","上海市","417569","台","1176245","千克","2,993,450,201",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","133","韩国","31","上海市","263529","台","835302","千克","2,190,724,483",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","134","斯里兰卡","31","上海市","1","台","1","千克","3,557",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","136","泰国","31","上海市","43606","台","121486","千克","302,545,617",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","137","土耳其","31","上海市","126351","台","388313","千克","764,227,031",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","138","阿联酋","31","上海市","314830","台","846222","千克","1,474,420,486",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","139","也门","31","上海市","2","台","60","千克","3,094",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","141","越南","31","上海市","45182","台","34793","千克","73,316,600",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","143","中国台湾","31","上海市","121485","台","339050","千克","891,455,261",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","145","哈萨克斯坦","31","上海市","3528","台","8820","千克","18,303,860",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","149","乌兹别克斯坦","31","上海市","51","台","99","千克","358,834",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","215","埃及","31","上海市","36","台","15","千克","20,756",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","217","埃塞俄比亚","31","上海市","1","台","1","千克","2,491",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","220","加纳","31","上海市","1","台","1","千克","2,597",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","223","科特迪瓦","31","上海市","1","台","1","千克","3,971",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","224","肯尼亚","31","上海市","5","台","8","千克","18,068",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","225","利比里亚","31","上海市","31","台","103","千克","130,739",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","231","毛里求斯","31","上海市","2","台","2","千克","7,714",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","233","莫桑比克","31","上海市","3","台","3","千克","9,165",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","234","纳米比亚","31","上海市","2","台","2","千克","6,726",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","236","尼日利亚","31","上海市","6","台","15","千克","11,090",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","237","留尼汪","31","上海市","1","台","1","千克","3,768",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","240","塞内加尔","31","上海市","2","台","1","千克","70",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","243","索马里","31","上海市","2","台","3","千克","3,751",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","244","南非","31","上海市","42384","台","108337","千克","130,155,084",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","250","乌干达","31","上海市","1","台","1","千克","3,762",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","251","布基纳法索","31","上海市","4","台","11","千克","9,945",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","253","赞比亚","31","上海市","1","台","3","千克","2,766",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","301","比利时","31","上海市","102","台","100","千克","315,582",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","302","丹麦","31","上海市","52","台","56","千克","173,514",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","303","英国","31","上海市","773549","台","2460525","千克","6,101,178,203",
