"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","311","葡萄牙","31","上海市","41","台","89","千克","121,718",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","312","西班牙","31","上海市","3939","台","8738","千克","11,214,379",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","315","奥地利","31","上海市","53","台","33","千克","41,023",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","316","保加利亚","31","上海市","18","台","31","千克","11,818",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","318","芬兰","31","上海市","85","台","27","千克","19,521",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","320","直布罗陀","31","上海市","1","台","1","千克","1,254",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","321","匈牙利","31","上海市","42","台","64","千克","16,841",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","322","冰岛","31","上海市","3","台","1","千克","2,957",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","324","马耳他","31","上海市","9","台","8","千克","8,205",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","326","挪威","31","上海市","9245","台","21182","千克","12,031,612",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","327","波兰","31","上海市","3795","台","1730","千克","3,652,578",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","328","罗马尼亚","31","上海市","6","台","13","千克","17,434",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","330","瑞典","31","上海市","30","台","68","千克","39,390",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","331","瑞士","31","上海市","156","台","135","千克","321,026",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","334","爱沙尼亚","31","上海市","3","台","3","千克","9,403",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","336","立陶宛","31","上海市","7","台","11","千克","15,642",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","340","白俄罗斯","31","上海市","3332","台","7240","千克","4,934,915",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","344","俄罗斯","31","上海市","50110","台","144447","千克","232,908,076",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","347","乌克兰","31","上海市","212","台","783","千克","1,926,677",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","350","斯洛文尼亚","31","上海市","2","台","2","千克","2,933",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","351","克罗地亚","31","上海市","14","台","5","千克","679",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","352","捷克","31","上海市","266303","台","822644","千克","1,885,394,268",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","353","斯洛伐克","31","上海市","11","台","30","千克","26,224",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","355","波斯尼亚和黑塞哥维那","31","上海市","1","台","2","千克","384",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","358","塞尔维亚","31","上海市","3","台","5","千克","6,417",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","363","泽西(2023年起增列)","31","上海市","1","台","1","千克","3,169",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","402","阿根廷","31","上海市","140","台","126","千克","29,953",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","408","玻利维亚","31","上海市","1","台","5","千克","340",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","410","巴西","31","上海市","13595","台","41610","千克","106,625,119",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","412","智利","31","上海市","16277","台","38745","千克","39,340,888",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","413","哥伦比亚","31","上海市","3891","台","9284","千克","21,162,863",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","414","多米尼克","31","上海市","1","台","3","千克","11,225",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","415","哥斯达黎加","31","上海市","2","台","9","千克","1,377",
