"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","103","孟加拉国","31","上海市","2020","台","2462","千克","1,520,298",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","106","缅甸","31","上海市","5","台","15","千克","26,601",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","107","柬埔寨","31","上海市","47","台","158","千克","152,059",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","110","中国香港","31","上海市","177197","台","398766","千克","939,174,318",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","111","印度","31","上海市","105007","台","318759","千克","1,043,276,735",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","112","印度尼西亚","31","上海市","32400","台","72934","千克","74,738,354",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","115","以色列","31","上海市","336","台","922","千克","4,161,200",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","116","日本","31","上海市","597876","台","1332661","千克","3,676,131,051",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","117","约旦","31","上海市","100","台","126","千克","96,301",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","118","科威特","31","上海市","1","台","1","千克","2,244",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","119","老挝","31","上海市","6","台","18","千克","24,341",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","120","黎巴嫩","31","上海市","4","台","7","千克","10,424",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","121","中国澳门","31","上海市","1303","台","866","千克","1,391,000",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","122","马来西亚","31","上海市","1401","台","3869","千克","15,525,687",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","125","尼泊尔","31","上海市","50","台","122","千克","432,878",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","129","菲律宾","31","上海市","223","台","611","千克","2,503,871",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","130","卡塔尔","31","上海市","1","台","2","千克","2,903",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","131","沙特阿拉伯","31","上海市","555","台","1676","千克","6,658,111",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","132","新加坡","31","上海市","146330","台","391199","千克","1,411,990,533",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","133","韩国","31","上海市","94631","台","287245","千克","1,047,133,210",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","134","斯里兰卡","31","上海市","1","台","2","千克","6,945",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","136","泰国","31","上海市","24247","台","67069","千克","234,077,343",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","137","土耳其","31","上海市","23069","台","68780","千克","224,994,222",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","138","阿联酋","31","上海市","74291","台","218449","千克","722,111,714",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","141","越南","31","上海市","30","台","62","千克","225,088",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","143","中国台湾","31","上海市","52073","台","133145","千克","460,285,627",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","232","摩洛哥","31","上海市","3","台","6","千克","15,201",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","244","南非","31","上海市","2940","台","9722","千克","31,807,693",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","301","比利时","31","上海市","8","台","36","千克","37,257",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","302","丹麦","31","上海市","17","台","44","千克","72,413",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","303","英国","31","上海市","395866","台","1173580","千克","3,888,889,422",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","304","德国","31","上海市","135954","台","389885","千克","1,517,105,032",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","305","法国","31","上海市","4081","台","6561","千克","4,354,067",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","306","爱尔兰","31","上海市","263","台","813","千克","3,584,264",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","307","意大利","31","上海市","216277","台","639081","千克","2,078,302,962",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","309","荷兰","31","上海市","767178","台","2237844","千克","7,551,482,810",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","310","希腊","31","上海市","1","台","2","千克","3,459",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","311","葡萄牙","31","上海市","4","台","6","千克","11,844",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","312","西班牙","31","上海市","160","台","418","千克","455,268",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","315","奥地利","31","上海市","21","台","13","千克","38,738",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","316","保加利亚","31","上海市","1","台","2","千克","3,459",
"84713090","其他重量不超过10千克的便携式自动数据处理设备","318","芬兰","31","上海市","23","台","33","千克","67,755",
