"商品编码","商品名称","贸易伙伴编码","贸易伙伴名称","注册地编码","注册地名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"85076000","锂离子蓄电池","103","孟加拉国","31","上海市","29","个","10032","千克","1,227,863",
"85076000","锂离子蓄电池","106","缅甸","31","上海市","40","个","27","千克","10,766",
"85076000","锂离子蓄电池","107","柬埔寨","31","上海市","7","个","6933","千克","259,613",
"85076000","锂离子蓄电池","110","中国香港","31","上海市","43644620","个","465603","千克","115,480,984",
"85076000","锂离子蓄电池","111","印度","31","上海市","619013","个","1841474","千克","243,388,737",
"85076000","锂离子蓄电池","112","印度尼西亚","31","上海市","13270","个","98106","千克","10,397,332",
"85076000","锂离子蓄电池","113","伊朗","31","上海市","227","个","1023","千克","628,016",
"85076000","锂离子蓄电池","115","以色列","31","上海市","1122","个","1400","千克","325,866",
"85076000","锂离子蓄电池","116","日本","31","上海市","2900291","个","8899441","千克","1,969,738,452",
"85076000","锂离子蓄电池","117","约旦","31","上海市","459","个","9433","千克","2,040,071",
"85076000","锂离子蓄电池","119","老挝","31","上海市","294","个","11804","千克","2,793,309",
"85076000","锂离子蓄电池","120","黎巴嫩","31","上海市","1981","个","70807","千克","12,742,702",
"85076000","锂离子蓄电池","121","中国澳门","31","上海市","12","个","1","千克","1,376",
"85076000","锂离子蓄电池","122","马来西亚","31","上海市","19785","个","274204","千克","20,261,234",
"85076000","锂离子蓄电池","125","尼泊尔","31","上海市","10","个","230","千克","78,506",
"85076000","锂离子蓄电池","126","阿曼","31","上海市","2","个","3","千克","2,172",
"85076000","锂离子蓄电池","127","巴基斯坦","31","上海市","1786","个","52448","千克","8,803,993",
"85076000","锂离子蓄电池","129","菲律宾","31","上海市","3824","个","161364","千克","29,702,786",
"85076000","锂离子蓄电池","131","沙特阿拉伯","31","上海市","3681","个","164587","千克","20,716,994",
"85076000","锂离子蓄电池","132","新加坡","31","上海市","354094","个","226495","千克","40,659,447",
"85076000","锂离子蓄电池","133","韩国","31","上海市","1527775","个","179282","千克","55,124,804",
"85076000","锂离子蓄电池","134","斯里兰卡","31","上海市","16","个","520","千克","112,478",
"85076000","锂离子蓄电池","136","泰国","31","上海市","121155","个","1234947","千克","251,997,620",
"85076000","锂离子蓄电池","137","土耳其","31","上海市","9731","个","91908","千克","19,914,693",
"85076000","锂离子蓄电池","138","阿联酋","31","上海市","29035","个","8074","千克","1,210,693",
"85076000","锂离子蓄电池","141","越南","31","上海市","3509301","个","420485","千克","98,655,162",
"85076000","锂离子蓄电池","143","中国台湾","31","上海市","84885","个","283743","千克","52,713,154",
"85076000","锂离子蓄电池","201","阿尔及利亚","31","上海市","60","个","216","千克","21,759",
"85076000","锂离子蓄电池","203","贝宁","31","上海市","48","个","1104","千克","3,132",
"85076000","锂离子蓄电池","224","肯尼亚","31","上海市","701","个","26323","千克","5,702,738",
"85076000","锂离子蓄电池","225","利比里亚","31","上海市","2","个","7","千克","20,089",
"85076000","锂离子蓄电池","227","马达加斯加","31","上海市","88","个","3093","千克","477,445",
"85076000","锂离子蓄电池","228","马拉维","31","上海市","176","个","5456","千克","1,326,631",
"85076000","锂离子蓄电池","230","毛里塔尼亚","31","上海市","25","个","861","千克","193,835",
"85076000","锂离子蓄电池","232","摩洛哥","31","上海市","85","个","257","千克","51,406",
"85076000","锂离子蓄电池","233","莫桑比克","31","上海市","50","个","4","千克","2,785",
"85076000","锂离子蓄电池","234","纳米比亚","31","上海市","30","个","960","千克","179,707",
"85076000","锂离子蓄电池","236","尼日利亚","31","上海市","863","个","31081","千克","5,859,868",
"85076000","锂离子蓄电池","244","南非","31","上海市","62115","个","616699","千克","108,641,083",
"85076000","锂离子蓄电池","246","苏丹","31","上海市","300","个","70","千克","30,048",
"85076000","锂离子蓄电池","247","坦桑尼亚","31","上海市","3000","个","5687","千克","980,564",
"85076000","锂离子蓄电池","253","赞比亚","31","上海市","1302","个","39788","千克","7,460,444",
"85076000","锂离子蓄电池","254","津巴布韦","31","上海市","943","个","28943","千克","6,372,648",
"85076000","锂离子蓄电池","301","比利时","31","上海市","82432","个","1896384","千克","334,922,518",
"85076000","锂离子蓄电池","302","丹麦","31","上海市","5748","个","45457","千克","8,944,081",
"85076000","锂离子蓄电池","303","英国","31","上海市","248259","个","2299653","千克","524,020,821",
"85076000","锂离子蓄电池","304","德国","31","上海市","824273","个","38719439","千克","7,014,418,263",
"85076000","锂离子蓄电池","305","法国","31","上海市","134124","个","796658","千克","184,154,085",
"85076000","锂离子蓄电池","306","爱尔兰","31","上海市","12368","个","96060","千克","16,669,654",
"85076000","锂离子蓄电池","307","意大利","31","上海市","248145","个","6716726","千克","988,078,882",
"85076000","锂离子蓄电池","309","荷兰","31","上海市","321612","个","7818315","千克","1,425,180,675",
"85076000","锂离子蓄电池","310","希腊","31","上海市","617","个","142","千克","25,240",
"85076000","锂离子蓄电池","311","葡萄牙","31","上海市","4449","个","68003","千克","13,495,413",
"85076000","锂离子蓄电池","312","西班牙","31","上海市","146922","个","3913379","千克","711,569,212",
"85076000","锂离子蓄电池","314","安道尔","31","上海市","834","个","1647","千克","949,917",
"85076000","锂离子蓄电池","315","奥地利","31","上海市","644193","个","592210","千克","178,792,822",
"85076000","锂离子蓄电池","316","保加利亚","31","上海市","147","个","28","千克","64,705",
"85076000","锂离子蓄电池","318","芬兰","31","上海市","1338","个","1176","千克","488,187",
"85076000","锂离子蓄电池","321","匈牙利","31","上海市","1411464","个","71044","千克","27,068,219",
"85076000","锂离子蓄电池","326","挪威","31","上海市","1420","个","23554","千克","4,025,645",
"85076000","锂离子蓄电池","327","波兰","31","上海市","59503","个","783043","千克","145,578,833",
"85076000","锂离子蓄电池","328","罗马尼亚","31","上海市","7412","个","25115","千克","8,222,625",
"85076000","锂离子蓄电池","330","瑞典","31","上海市","6314","个","42987","千克","9,260,425",
"85076000","锂离子蓄电池","331","瑞士","31","上海市","2121","个","4907","千克","2,567,698",
"85076000","锂离子蓄电池","334","爱沙尼亚","31","上海市","2000","个","163","千克","197,544",
"85076000","锂离子蓄电池","336","立陶宛","31","上海市","4335","个","41366","千克","7,562,512",
"85076000","锂离子蓄电池","339","阿塞拜疆(2023年起停用)","31","上海市","300","个","29","千克","18,791",
"85076000","锂离子蓄电池","344","俄罗斯","31","上海市","136402","个","96280","千克","18,774,736",
"85076000","锂离子蓄电池","347","乌克兰","31","上海市","983","个","28774","千克","4,279,344",
"85076000","锂离子蓄电池","350","斯洛文尼亚","31","上海市","33475","个","422264","千克","75,033,037",
"85076000","锂离子蓄电池","351","克罗地亚","31","上海市","4700","个","2828","千克","466,538",
"85076000","锂离子蓄电池","352","捷克","31","上海市","9422","个","89862","千克","19,061,742",
"85076000","锂离子蓄电池","353","斯洛伐克","31","上海市","1920","个","5804","千克","2,789,287",
